,single_q,double_q,dashes,braces,spaces,badwords,class,Cluster
284,,,,,,,,Cluster 0
285,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
286,,,,,,,,Cluster 0
287,0.0,2.0,0.0,0.0,0.0,1.0,bad,Cluster 0
288,,,,,,,,Cluster 0
289,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
290,,,,,,,,Cluster 0
291,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
292,,,,,,,,Cluster 0
293,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
294,,,,,,,,Cluster 0
295,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
296,,,,,,,,Cluster 0
297,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
298,,,,,,,,Cluster 0
299,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
300,,,,,,,,Cluster 0
301,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
302,,,,,,,,Cluster 0
303,0.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
304,,,,,,,,Cluster 0
305,0.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
306,,,,,,,,Cluster 0
307,0.0,0.0,0.0,0.0,0.0,3.0,bad,Cluster 2
308,,,,,,,,Cluster 0
309,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
310,,,,,,,,Cluster 0
311,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
312,,,,,,,,Cluster 0
313,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
314,,,,,,,,Cluster 0
315,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
316,,,,,,,,Cluster 0
317,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
318,,,,,,,,Cluster 0
319,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
320,,,,,,,,Cluster 0
321,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
322,,,,,,,,Cluster 0
323,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
324,,,,,,,,Cluster 0
325,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
326,,,,,,,,Cluster 0
327,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
328,,,,,,,,Cluster 0
329,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
330,,,,,,,,Cluster 0
331,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
332,,,,,,,,Cluster 0
333,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
334,,,,,,,,Cluster 0
335,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
336,,,,,,,,Cluster 0
337,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
338,,,,,,,,Cluster 0
339,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
340,,,,,,,,Cluster 0
341,0.0,0.0,0.0,3.0,0.0,1.0,bad,Cluster 2
342,,,,,,,,Cluster 0
343,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
344,,,,,,,,Cluster 0
345,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
346,,,,,,,,Cluster 0
347,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
348,,,,,,,,Cluster 0
349,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
350,,,,,,,,Cluster 0
351,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
352,,,,,,,,Cluster 0
353,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
354,,,,,,,,Cluster 0
355,0.0,3.0,0.0,0.0,0.0,1.0,bad,Cluster 0
356,,,,,,,,Cluster 0
357,3.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
358,,,,,,,,Cluster 0
359,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
360,,,,,,,,Cluster 0
361,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
362,,,,,,,,Cluster 0
363,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
364,,,,,,,,Cluster 0
365,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
366,,,,,,,,Cluster 0
367,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
368,,,,,,,,Cluster 0
369,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
370,,,,,,,,Cluster 0
371,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
372,,,,,,,,Cluster 0
